member_id,first_name,surname,sex,email,city,year,month,order_count,meals_count,monthly_budget,total_expense,balance,commission
161,Callen,Dodd,M,Ca.Dodd@hotmail.com,Ramat Hasharon,2020,1,24,55,2630.04,500.0,-2130.04,195.59
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,Ramat Hasharon,2020,1,35,75,3225.02,800.0,-2425.02,251.9
78,Whitney,Farrington,M,Whitney.Farrington@yahoo.com,Ramat Hasharon,2020,1,29,73,3396.95,500.0,-2896.95,271.73
100,Patryk,Burgess,M,Patryk.Burgess@yahoo.com,Herzelia,2020,1,25,69,3062.92,600.0,-2462.92,212.21
117,Lillie,Barnard,F,Li.Barnard@hotmail.com,Herzelia,2020,1,28,58,2634.19,500.0,-2134.19,200.7
27,Seth,Calvert,M,Se.Ca@walla.co.il,Ramat Hasharon,2020,1,24,65,3029.98,1000.0,-2029.98,255.84
199,Nial,Meadows,M,Nial.Me@yahoo.com,Givatayim,2020,1,26,58,2795.38,500.0,-2295.38,219.14
143,Aman,Driscoll,M,Am.Dr@hotmail.com,Herzelia,2020,1,25,65,2571.33,800.0,-1771.33,204.31
51,Essa,Hope,M,Essa.Ho@walla.co.il,Herzelia,2020,1,33,82,3918.92,500.0,-3418.92,296.26
142,Atlanta,Cunningham,F,At.Cunningham@hotmail.com,Herzelia,2020,1,26,62,2866.51,600.0,-2266.51,204.79
113,Macie,Lara,F,Ma.La@gmail.com,Ramat Hasharon,2020,1,27,59,2622.93,1000.0,-1622.93,186.52
96,Presley,Yu,F,Pr.Yu@walla.co.il,Ramat Hasharon,2020,1,23,44,2070.73,800.0,-1270.73,174.71
147,Ahsan,Oneil,M,Ah.On@walla.co.il,Herzelia,2020,1,30,70,3101.01,500.0,-2601.01,231.0
153,Kaiya,Robin,M,Ka.Robin@walla.co.il,Givatayim,2020,1,28,61,2648.39,500.0,-2148.39,202.04
48,Kaison,Harvey,M,Kaison.Harvey@yahoo.com,Ramat Gan,2020,1,26,57,2563.61,600.0,-1963.61,202.48
160,Yu,Hudson,F,Yu.Hu@yahoo.com,Tel Aviv,2020,1,24,60,2700.97,800.0,-1900.97,195.13
50,Jayda,Lord,F,Jayda.Lord@walla.co.il,Tel Aviv,2020,1,26,51,2266.88,600.0,-1666.88,150.79
73,Sohaib,Walls,M,Sohaib.Walls@gmail.com,Givatayim,2020,1,24,44,2067.75,600.0,-1467.75,166.67
76,Christina,Blankenship,F,Christina.Bl@walla.co.il,Herzelia,2020,1,23,53,2110.5,500.0,-1610.5,147.48
88,Anayah,Lee,F,Anayah.Lee@hotmail.com,Herzelia,2020,1,25,62,2659.22,1000.0,-1659.22,196.17
144,Willie,Cairns,M,Willie.Ca@hotmail.com,Herzelia,2020,1,24,58,2504.2,600.0,-1904.2,182.08
167,Milan,Brookes,F,Mi.Br@gmail.com,Givatayim,2020,1,30,62,2609.11,500.0,-2109.11,214.1
97,Gabriel,Bannister,M,Ga.Bannister@gmail.com,Tel Aviv,2020,1,24,59,2931.14,800.0,-2131.14,211.68
104,Blake,Dyer,F,Blake.Dy@gmail.com,Ramat Hasharon,2020,1,29,74,3273.06,1000.0,-2273.06,253.55
71,Cecil,Hatfield,M,Ce.Ha@hotmail.com,Ramat Hasharon,2020,1,33,73,3426.67,500.0,-2926.67,253.99
21,Marlon,Day,M,Marlon.Day@gmail.com,Tel Aviv,2020,1,27,65,2891.08,600.0,-2291.08,214.91
31,Kaisha,Watkins,F,Kaisha.Watkins@walla.co.il,Ramat Gan,2020,1,25,68,3095.33,1000.0,-2095.33,231.37
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,Ramat Gan,2020,1,28,63,2710.46,600.0,-2110.46,203.33
12,Glyn,Cooper,M,Gl.Co@hotmail.com,Ramat Hasharon,2020,1,20,49,2031.76,500.0,-1531.76,160.81
187,Niyah,Whelan,M,Niyah.Whelan@yahoo.com,Ramat Hasharon,2020,1,29,63,2831.08,1000.0,-1831.08,230.31
94,Sayed,Irvine,M,Sayed.Ir@yahoo.com,Herzelia,2020,1,25,49,2209.75,600.0,-1609.75,168.25
138,Jiya,Raymond,F,Ji.Ra@hotmail.com,Givatayim,2020,1,26,64,2949.71,600.0,-2349.71,228.52
183,Elijah,Beech,M,Elijah.Be@hotmail.com,Tel Aviv,2020,1,21,51,2236.12,500.0,-1736.12,150.01
89,Jerry,Smith,F,Jerry.Sm@gmail.com,Givatayim,2020,1,33,83,3800.56,500.0,-3300.56,298.26
3,Jia,Delarosa,M,Jia.De@gmail.com,Herzelia,2020,1,23,48,2054.95,500.0,-1554.95,162.21
122,Ellena,Castro,F,El.Ca@yahoo.com,Herzelia,2020,1,29,60,2615.06,800.0,-1815.06,221.22
141,Chanel,Paine,F,Chanel.Paine@gmail.com,Ramat Gan,2020,1,27,65,2888.96,500.0,-2388.96,235.46
108,Alexa,Stokes,F,Al.Stokes@yahoo.com,Tel Aviv,2020,1,32,68,3114.84,800.0,-2314.84,244.23
43,Simrah,Greig,F,Si.Greig@yahoo.com,Herzelia,2020,1,27,61,2667.38,600.0,-2067.38,203.96
42,Aahil,Redman,M,Aahil.Re@hotmail.com,Ramat Hasharon,2020,1,21,56,2374.14,1000.0,-1374.14,184.55
200,Diya,Myers,F,Diya.My@walla.co.il,Givatayim,2020,1,30,70,3156.95,600.0,-2556.95,218.59
127,Tylor,Cochran,M,Ty.Cochran@gmail.com,Ramat Gan,2020,1,27,52,2404.26,800.0,-1604.26,175.25
139,Octavia,Hooper,F,Oc.Hooper@gmail.com,Ramat Gan,2020,1,19,36,1577.97,800.0,-777.97,122.72
38,Nathalie,Marshall,F,Na.Marshall@yahoo.com,Givatayim,2020,1,28,58,2634.74,600.0,-2034.74,221.44
17,Ellis,Coates,F,El.Co@gmail.com,Ramat Hasharon,2020,1,27,56,2546.18,500.0,-2046.18,194.24
107,Anton,Ray,M,Anton.Ray@yahoo.com,Givatayim,2020,1,35,77,3859.93,1000.0,-2859.93,334.11
4,Valentina,Ratcliffe,F,Va.Ratcliffe@gmail.com,Herzelia,2020,1,28,66,2970.5,600.0,-2370.5,254.37
16,Sonia,Rosales,F,So.Ro@yahoo.com,Givatayim,2020,1,31,79,3561.98,500.0,-3061.98,284.93
95,Briony,Plummer,F,Br.Pl@yahoo.com,Herzelia,2020,1,22,53,2380.98,600.0,-1780.98,187.69
55,Yasir,Noel,M,Ya.Noel@walla.co.il,Givatayim,2020,1,24,55,2500.61,500.0,-2000.61,170.96
120,Bridget,Colley,F,Bridget.Co@gmail.com,Givatayim,2020,1,29,63,2565.61,800.0,-1765.61,212.11
179,Israel,Dunlap,M,Is.Du@walla.co.il,Ramat Gan,2020,1,26,62,2800.08,500.0,-2300.08,225.29
99,Osian,England,M,Os.England@hotmail.com,Herzelia,2020,1,24,64,2845.08,500.0,-2345.08,225.18
54,Cavan,Bates,M,Ca.Ba@walla.co.il,Ramat Hasharon,2020,1,28,68,2839.41,800.0,-2039.41,209.36
75,Bridie,Morales,F,Bridie.Morales@yahoo.com,Ramat Gan,2020,1,22,47,2350.8,800.0,-1550.8,178.35
125,Maheen,Marin,M,Maheen.Ma@hotmail.com,Herzelia,2020,1,29,61,2689.59,500.0,-2189.59,199.11
10,Mahad,Ware,M,Ma.Ware@walla.co.il,Givatayim,2020,1,12,31,1183.0,600.0,-583.0,93.99
124,Imogen,Lynch,F,Im.Ly@hotmail.com,Ramat Hasharon,2020,1,32,79,3331.35,1000.0,-2331.35,252.22
163,Aman,Mccoy,F,Aman.Mc@hotmail.com,Herzelia,2020,1,20,43,1789.12,500.0,-1289.12,136.41
189,Nelson,Esparza,M,Nelson.Esparza@yahoo.com,Herzelia,2020,1,28,68,3063.68,500.0,-2563.68,224.84
136,Shanay,Reyna,M,Sh.Reyna@yahoo.com,Givatayim,2020,1,27,63,2856.38,500.0,-2356.38,217.15
72,Nichole,Edge,F,Nichole.Edge@gmail.com,Givatayim,2020,1,24,52,2365.25,600.0,-1765.25,191.85
45,Jaime,Britton,M,Jaime.Britton@walla.co.il,Tel Aviv,2020,1,33,77,3423.77,800.0,-2623.77,258.57
49,Blane,Compton,M,Bl.Co@gmail.com,Ramat Hasharon,2020,1,23,57,2693.59,800.0,-1893.59,200.61
137,Terrence,Payne,M,Te.Pa@hotmail.com,Tel Aviv,2020,1,27,67,3001.57,800.0,-2201.57,225.9
175,Sadie,Waller,F,Sadie.Wa@gmail.com,Ramat Gan,2020,1,26,51,2284.36,1000.0,-1284.36,176.99
154,Daanyal,Holding,M,Da.Ho@walla.co.il,Ramat Hasharon,2020,1,27,45,1976.44,1000.0,-976.44,156.45
24,Amy-Louise,Mayo,F,Am.Mayo@gmail.com,Herzelia,2020,1,30,63,2885.92,500.0,-2385.92,245.7
157,Lynn,Mackie,F,Lynn.Ma@yahoo.com,Herzelia,2020,1,32,74,3052.95,1000.0,-2052.95,230.67
63,Lorena,Dunkley,M,Lo.Dunkley@walla.co.il,Givatayim,2020,1,30,67,2982.45,500.0,-2482.45,249.15
178,Jill,Frame,M,Jill.Fr@gmail.com,Tel Aviv,2020,1,21,54,2320.21,500.0,-1820.21,177.3
5,Stacie,Patel,F,St.Patel@hotmail.com,Ramat Hasharon,2020,1,30,65,2727.48,500.0,-2227.48,198.19
33,Elspeth,Zuniga,F,El.Zu@gmail.com,Ramat Hasharon,2020,1,24,45,2041.22,500.0,-1541.22,145.9
85,Milly,Cash,F,Mi.Cash@gmail.com,Ramat Gan,2020,1,21,36,1652.82,600.0,-1052.82,129.48
9,Maison,Watt,M,Maison.Watt@gmail.com,Ramat Gan,2020,1,29,61,2771.7,500.0,-2271.7,213.69
28,Cassidy,Villa,F,Cassidy.Villa@walla.co.il,Tel Aviv,2020,1,19,42,1731.43,600.0,-1131.43,135.65
170,Acacia,Slater,F,Ac.Slater@walla.co.il,Tel Aviv,2020,1,26,54,2340.78,500.0,-1840.78,187.63
91,Leo,Walton,M,Leo.Walton@hotmail.com,Givatayim,2020,1,32,82,3648.07,1000.0,-2648.07,301.28
164,Danyal,Brennan,M,Da.Brennan@gmail.com,Ramat Hasharon,2020,1,32,68,3193.4,500.0,-2693.4,229.94
118,Amar,Hewitt,M,Amar.He@gmail.com,Herzelia,2020,1,31,75,3299.74,600.0,-2699.74,239.47
156,Amara,Shelton,M,Am.Sh@yahoo.com,Givatayim,2020,1,23,55,2314.15,600.0,-1714.15,180.22
129,Bobbie,Cochran,F,Bo.Cochran@gmail.com,Herzelia,2020,1,30,80,3981.58,800.0,-3181.58,332.79
119,Steffan,Mata,M,St.Ma@walla.co.il,Ramat Gan,2020,1,26,56,2612.5,500.0,-2112.5,188.07
30,Anisah,Downs,F,An.Do@yahoo.com,Ramat Hasharon,2020,1,15,33,1444.26,1000.0,-444.26,114.79
74,Lani,O'Reilly,M,Lani.O@walla.co.il,Herzelia,2020,1,33,68,3371.55,600.0,-2771.55,270.03
197,Natalia,Daniel,F,Natalia.Da@gmail.com,Herzelia,2020,1,21,45,1744.83,500.0,-1244.83,122.38
111,Barbara,Hayward,F,Barbara.Ha@hotmail.com,Ramat Gan,2020,1,20,44,1920.95,800.0,-1120.95,159.29
80,Sioned,Russell,F,Sioned.Russell@walla.co.il,Ramat Hasharon,2020,1,29,73,3459.09,1000.0,-2459.09,260.54
182,Micah,Tucker,M,Mi.Tu@yahoo.com,Ramat Gan,2020,1,19,49,2271.76,800.0,-1471.76,175.39
188,Darlene,Perry,F,Da.Perry@hotmail.com,Ramat Gan,2020,1,25,63,2797.55,800.0,-1997.55,220.86
29,Madison,Sanchez,F,Madison.Sanchez@hotmail.com,Ramat Hasharon,2020,1,30,66,3063.57,800.0,-2263.57,230.26
26,Estelle,Doherty,F,Estelle.Do@hotmail.com,Herzelia,2020,1,22,55,2606.61,1000.0,-1606.61,202.06
6,Fallon,Case,M,Fa.Case@walla.co.il,Ramat Hasharon,2020,1,23,56,2272.54,600.0,-1672.54,179.97
103,Gregor,Bishop,M,Gr.Bishop@hotmail.com,Givatayim,2020,1,25,50,2155.52,800.0,-1355.52,154.06
149,Zoey,Hendricks,F,Zoey.He@hotmail.com,Herzelia,2020,1,26,63,2594.57,600.0,-1994.57,200.59
172,Frances,Major,M,Fr.Major@gmail.com,Givatayim,2020,1,25,54,2363.51,600.0,-1763.51,161.82
109,Simon,Mccormick,M,Si.Mc@walla.co.il,Herzelia,2020,1,33,77,3385.06,800.0,-2585.06,255.78
83,Tony,Francis,M,To.Francis@gmail.com,Givatayim,2020,1,27,58,2399.32,600.0,-1799.32,175.06
112,Faith,Owen,F,Fa.Ow@yahoo.com,Ramat Hasharon,2020,1,20,48,2059.84,1000.0,-1059.84,152.5
93,Alexandru,Holmes,M,Al.Ho@hotmail.com,Givatayim,2020,1,26,57,2470.89,600.0,-1870.89,182.89
87,Mason,Booth,M,Ma.Bo@yahoo.com,Ramat Gan,2020,1,25,66,3121.91,600.0,-2521.91,228.01
25,Safwan,Flowers,M,Sa.Flowers@hotmail.com,Tel Aviv,2020,1,20,50,1963.25,600.0,-1363.25,148.35
105,Bonita,Benton,F,Bo.Benton@hotmail.com,Tel Aviv,2020,1,20,40,1868.73,1000.0,-868.73,128.88
1,Ollie,Kinney,M,Ol.Kinney@walla.co.il,Herzelia,2020,1,38,84,3773.92,1000.0,-2773.92,293.27
81,Daniel,Calderon,M,Daniel.Ca@walla.co.il,Givatayim,2020,1,24,57,2735.4,500.0,-2235.4,197.14
158,Kristi,Faulkner,M,Kr.Fa@walla.co.il,Givatayim,2020,1,27,64,3177.49,1000.0,-2177.49,239.46
64,Jody,Horn,F,Jo.Ho@walla.co.il,Ramat Gan,2020,1,28,62,2702.73,600.0,-2102.73,194.4
131,Jun,Barnard,M,Ju.Ba@hotmail.com,Ramat Hasharon,2020,1,26,68,2850.7,1000.0,-1850.7,208.38
35,Ines,Lott,M,Ines.Lo@hotmail.com,Givatayim,2020,1,30,72,3303.7,1000.0,-2303.7,264.15
106,Simeon,Guevara,M,Simeon.Gu@walla.co.il,Ramat Hasharon,2020,1,28,62,2860.0,1000.0,-1860.0,215.12
135,Cynthia,Frye,F,Cy.Fr@walla.co.il,Ramat Gan,2020,1,29,58,2277.89,1000.0,-1277.89,171.5
181,Armaan,Weston,M,Ar.Weston@hotmail.com,Tel Aviv,2020,1,23,58,2605.32,600.0,-2005.32,224.29
8,Jadine,Holt,F,Ja.Holt@yahoo.com,Givatayim,2020,1,17,38,1768.6,600.0,-1168.6,133.64
79,Danny,Ortiz,M,Danny.Or@hotmail.com,Ramat Hasharon,2020,1,28,74,3197.96,600.0,-2597.96,227.76
102,Wren,Arnold,F,Wren.Arnold@yahoo.com,Ramat Hasharon,2020,1,36,89,3813.69,1000.0,-2813.69,308.53
159,Kaden,Oneal,M,Ka.Oneal@walla.co.il,Ramat Hasharon,2020,1,18,37,1764.94,800.0,-964.94,138.45
65,Carmen,Calvert,F,Carmen.Ca@hotmail.com,Tel Aviv,2020,1,25,52,2807.09,1000.0,-1807.09,219.65
110,Danyl,Martins,M,Da.Martins@yahoo.com,Givatayim,2020,1,21,51,2404.04,800.0,-1604.04,181.21
114,Matthias,Norton,M,Matthias.No@yahoo.com,Givatayim,2020,1,27,65,2891.32,1000.0,-1891.32,213.25
98,Amina,Hogan,F,Am.Ho@yahoo.com,Givatayim,2020,1,21,51,2096.26,800.0,-1296.26,163.7
44,Evie,Berg,F,Ev.Be@gmail.com,Herzelia,2020,1,23,47,2003.4,600.0,-1403.4,161.09
41,Hadi,Gardiner,M,Hadi.Ga@hotmail.com,Herzelia,2020,1,30,70,3191.9,500.0,-2691.9,239.07
66,Kamron,Goodwin,M,Ka.Goodwin@hotmail.com,Ramat Hasharon,2020,1,22,35,1590.12,800.0,-790.12,116.77
60,Bryson,Lynch,M,Bryson.Ly@hotmail.com,Tel Aviv,2020,1,11,23,1042.27,800.0,-242.27,84.84
39,Alyx,Conway,M,Alyx.Conway@walla.co.il,Tel Aviv,2020,1,29,70,3322.99,800.0,-2522.99,252.83
32,Fox,Hunt,M,Fox.Hu@walla.co.il,Herzelia,2020,1,29,71,3062.04,500.0,-2562.04,244.0
165,Frankie,Huff,F,Frankie.Huff@walla.co.il,Ramat Hasharon,2020,1,26,60,2562.04,1000.0,-1562.04,197.9
70,Ari,Barr,M,Ar.Barr@yahoo.com,Ramat Hasharon,2020,1,26,61,2946.56,500.0,-2446.56,231.95
121,Princess,Timms,F,Pr.Ti@gmail.com,Tel Aviv,2020,1,19,46,2061.75,800.0,-1261.75,166.41
101,Yaqub,Reese,M,Ya.Reese@gmail.com,Tel Aviv,2020,1,32,58,2561.19,500.0,-2061.19,196.96
180,Bilaal,Berry,M,Bilaal.Berry@yahoo.com,Ramat Gan,2020,1,25,63,2710.77,1000.0,-1710.77,213.81
148,Nora,Xiong,M,Nora.Xiong@walla.co.il,Herzelia,2020,1,27,64,2738.99,1000.0,-1738.99,210.46
155,Axl,Bull,M,Axl.Bull@walla.co.il,Ramat Hasharon,2020,1,25,52,2346.25,600.0,-1746.25,199.34
116,Tess,Dorsey,F,Tess.Dorsey@yahoo.com,Ramat Hasharon,2020,1,37,83,3700.99,500.0,-3200.99,287.19
13,Jed,Fuentes,M,Je.Fu@hotmail.com,Givatayim,2020,1,26,63,2749.73,1000.0,-1749.73,217.29
123,Romy,Neal,F,Romy.Neal@walla.co.il,Tel Aviv,2020,1,29,63,2813.95,600.0,-2213.95,219.24
20,Adelina,Ashley,F,Ad.As@hotmail.com,Herzelia,2020,1,32,74,3080.13,800.0,-2280.13,257.34
194,Shannon,Harwood,F,Shannon.Ha@walla.co.il,Givatayim,2020,1,21,56,2486.2,800.0,-1686.2,198.35
184,Farah,Sutton,F,Farah.Sutton@yahoo.com,Tel Aviv,2020,1,24,54,2442.01,500.0,-1942.01,207.73
151,Arisha,Irving,F,Ar.Irving@walla.co.il,Ramat Hasharon,2020,1,37,86,4000.8,500.0,-3500.8,309.27
168,Manveer,Knight,F,Manveer.Kn@hotmail.com,Herzelia,2020,1,30,66,2785.79,800.0,-1985.79,215.62
52,Franklyn,Findlay,M,Franklyn.Findlay@yahoo.com,Tel Aviv,2020,1,31,72,3124.69,800.0,-2324.69,249.79
92,Sofia,Calhoun,F,So.Calhoun@walla.co.il,Ramat Gan,2020,1,25,54,2439.32,500.0,-1939.32,185.43
40,Mairead,Acevedo,F,Ma.Acevedo@walla.co.il,Herzelia,2020,1,25,49,2330.26,600.0,-1730.26,165.43
61,Kiki,Schneider,F,Kiki.Sc@hotmail.com,Herzelia,2020,1,27,61,2928.83,600.0,-2328.83,231.4
166,Luka,Holder,F,Luka.Ho@yahoo.com,Givatayim,2020,1,31,71,3257.91,500.0,-2757.91,239.25
134,Brandi,Travis,F,Brandi.Travis@hotmail.com,Tel Aviv,2020,1,28,74,3404.46,600.0,-2804.46,278.2
23,Isla-Rose,Heaton,F,Isla-Rose.He@gmail.com,Ramat Hasharon,2020,1,27,66,2834.16,800.0,-2034.16,222.6
152,Keir,Broughton,F,Ke.Broughton@hotmail.com,Givatayim,2020,1,28,69,3049.82,600.0,-2449.82,225.01
186,Ariya,Armstrong,F,Ariya.Armstrong@gmail.com,Givatayim,2020,1,27,58,2509.77,600.0,-1909.77,195.94
36,Sarah,Crossley,F,Sarah.Cr@hotmail.com,Tel Aviv,2020,1,21,57,2310.81,600.0,-1710.81,179.74
171,Hanna,Shelton,F,Hanna.Shelton@walla.co.il,Givatayim,2020,1,31,79,3485.06,600.0,-2885.06,292.79
56,Kyra,Mccann,F,Ky.Mc@walla.co.il,Tel Aviv,2020,1,23,52,2542.11,500.0,-2042.11,182.72
90,Joss,Brandt,F,Joss.Brandt@walla.co.il,Tel Aviv,2020,1,30,75,3210.29,800.0,-2410.29,226.6
34,Leoni,Lindsay,F,Leoni.Lindsay@yahoo.com,Ramat Gan,2020,1,27,61,2657.89,800.0,-1857.89,205.42
46,Mariyah,Green,F,Ma.Green@walla.co.il,Herzelia,2020,1,32,77,3510.37,1000.0,-2510.37,274.18
173,Renzo,Henderson,M,Re.Henderson@walla.co.il,Ramat Gan,2020,1,27,64,3127.77,1000.0,-2127.77,231.15
57,Kya,Melton,M,Kya.Me@gmail.com,Herzelia,2020,1,28,64,2802.6,500.0,-2302.6,203.56
15,Krystal,Bridges,F,Krystal.Bridges@hotmail.com,Herzelia,2020,1,19,39,1793.52,500.0,-1293.52,137.61
190,Kristina,Hutchinson,F,Kr.Hutchinson@yahoo.com,Ramat Gan,2020,1,26,66,3084.27,1000.0,-2084.27,250.2
146,Tiya,Warren,F,Tiya.Warren@gmail.com,Tel Aviv,2020,1,27,68,2817.93,600.0,-2217.93,208.02
11,Louisa,Grant,F,Lo.Gr@gmail.com,Ramat Gan,2020,1,29,65,2990.46,600.0,-2390.46,236.22
185,Subhaan,Washington,M,Su.Wa@hotmail.com,Givatayim,2020,1,21,53,2395.81,500.0,-1895.81,171.8
62,Janine,Coulson,F,Ja.Coulson@gmail.com,Herzelia,2020,1,22,49,2151.79,500.0,-1651.79,181.41
145,Taran,Samuels,F,Ta.Samuels@hotmail.com,Herzelia,2020,1,24,50,2073.55,600.0,-1473.55,151.24
86,Keir,Ewing,M,Keir.Ewing@walla.co.il,Ramat Hasharon,2020,1,30,81,3622.22,800.0,-2822.22,281.47
169,Emaan,Greenaway,M,Emaan.Greenaway@gmail.com,Herzelia,2020,1,23,59,2720.42,500.0,-2220.42,218.68
47,Joyce,Newton,F,Joyce.Ne@gmail.com,Herzelia,2020,2,25,61,2789.64,500.0,-2289.64,210.16
126,Macey,Almond,M,Macey.Almond@yahoo.com,Tel Aviv,2020,2,23,47,2031.02,1000.0,-1031.02,152.0
68,Aydin,Hirst,M,Aydin.Hirst@hotmail.com,Tel Aviv,2020,2,29,63,2680.76,1000.0,-1680.76,194.64
115,Rami,Sexton,M,Rami.Sexton@hotmail.com,Ramat Gan,2020,2,24,58,2418.88,600.0,-1818.88,174.29
193,Mira,Kent,M,Mi.Kent@walla.co.il,Tel Aviv,2020,2,23,52,2212.34,500.0,-1712.34,154.84
53,Lilly-Ann,Frey,F,Li.Fr@hotmail.com,Tel Aviv,2020,2,20,47,1995.3,1000.0,-995.3,158.49
192,Amrit,Haworth,M,Am.Ha@hotmail.com,Givatayim,2020,2,22,54,2330.53,1000.0,-1330.53,171.53
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,Givatayim,2020,2,22,43,2191.6,1000.0,-1191.6,169.0
176,Amman,Zavala,F,Am.Zavala@gmail.com,Givatayim,2020,2,28,67,3106.38,600.0,-2506.38,245.35
130,Haleemah,Davidson,F,Haleemah.Da@yahoo.com,Tel Aviv,2020,2,20,50,2269.9,1000.0,-1269.9,162.09
195,Samuel,Huerta,M,Sa.Huerta@gmail.com,Ramat Gan,2020,2,21,47,2128.93,800.0,-1328.93,148.74
84,Simone,Morse,F,Si.Mo@hotmail.com,Givatayim,2020,2,26,61,2901.1,500.0,-2401.1,213.3
191,Kara,Thompson,F,Kara.Thompson@gmail.com,Ramat Gan,2020,2,19,47,2298.92,800.0,-1498.92,181.76
77,Claude,Patel,M,Cl.Pa@yahoo.com,Tel Aviv,2020,2,20,41,1692.59,600.0,-1092.59,131.85
133,Liyana,Stanton,F,Li.Stanton@hotmail.com,Ramat Gan,2020,2,21,38,1666.96,800.0,-866.96,133.0
67,Campbell,Alvarez,M,Campbell.Alvarez@hotmail.com,Givatayim,2020,2,17,39,1778.61,600.0,-1178.61,133.14
